Year,Town_Code,town,2010_Census_Units,Government_Assisted,Tenant_Rental_Assistance,_Single_Family_CHFA/_USDA_Mortgages,Deed_Restricted_Units,Total_Assisted_Units,Percent_Affordable,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
2017,62,Hamden,25114,937.0,659,456,4,2056,8.19,116.0,279.0,3.0,23.0,0.0,4.0,229.0,49.0,0.0,4.0,3.0,10.0,0.0,238.0,0.0,13.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,67.0,0.0,0.0,22.0,11.0,70.0,960.0
2017,63,Hampton,793,0.0,1,25,0,26,3.28,0.0,1.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,14.0
2017,64,Hartford,51822,10044.0,8354,1477,0,19875,38.35,346.0,1823.0,13.0,146.0,0.0,320.0,935.0,687.0,0.0,88.0,20.0,44.0,0.0,921.0,0.0,43.0,18.0,0.0,47.0,19.0,125.0,0.0,26.0,1489.0,3.0,0.0,51.0,146.0,1552.0,6964.0
2017,65,Hartland,856,2.0,0,3,0,5,0.58,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,17.0
2017,66,Harwinton,2282,22.0,4,29,0,55,2.41,0.0,26.0,1.0,2.0,0.0,18.0,20.0,11.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,11.0,104.0
2017,67,Hebron,3567,58.0,3,38,0,99,2.78,2.0,9.0,0.0,1.0,0.0,17.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,8.0,55.0
2017,68,Kent,1665,53.0,5,6,0,64,3.84,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0
2017,69,Killingly,7592,520.0,117,296,0,933,12.29,5.0,376.0,0.0,17.0,0.0,70.0,90.0,37.0,0.0,26.0,2.0,1.0,0.0,56.0,1.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,3.0,80.0,0.0,0.0,12.0,2.0,84.0,785.0
2017,70,Killingworth,2598,0.0,0,23,5,28,1.08,0.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,16.0
2017,71,Lebanon,3125,26.0,3,85,0,114,3.65,0.0,16.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,15.0,55.0
